class,Calories (kcal),Protein (g),Carbohydrates (g),Fat (g),Fiber (g)
Ayam Bakar,167,25.01,0,6.63,0
Ayam Geprek,263,17.61,7.6,17.99,0.8
Ayam Goreng,260,21.93,10.76,14.55,1.4
Bakso,180,12,15,8,1
Ikan Bakar,200,30,0,8,0
Mie Goreng,320,8,40,16,3
Nasi Goreng,250,8,35,12,1
Nasi Kuning,270,6,40,8,2
Pecel,250,10,30,10,4
Rendang,320,26,8,28,1
Sate Ayam,240,25,7,18,1
Soto Ayam,220,20,20,12,3
Tahu Goreng,35,2.23,1.36,2.62,0.5
Telur Goreng,92,6.3,0.6,7,0
Telur Rebus,77,6.3,0.6,5.3,0
Tempe Goreng,34,2,1.79,2.28,0
Gado-Gado,220,10,18,16,6
Nasi Uduk,270,7,38,14,3
Ayam Penyet,350,32,18,18,2
Pempek,240,14,22,12,3
Lontong Sayur,280,8,32,14,5
Sop Buntut,400,26,15,28,3
Sayur Asem,150,6,20,8,5
Pepes Ikan,220,23,8,12,0
Pecel Lele,250,25,15,15,3
Oseng Tempe Kecap,180,12,12,9,3
Sayur Lodeh,210,8,22,10,5
Rujak,150,3,35,4,5
Gulai Tahu Tempe,200,12,20,10,5
Sate Kelinci,200,28,5,8,0
Ayam Taliwang,220,30,8,10,1
Bubur Ayam (tanpa kerupuk),180,20,14,6,2
Tumis Kangkung,150,6,12,8,4
Sate Padang,280,22,18,18,1
Nasi Bebek,380,30,15,30,2
Tongseng,350,30,15,25,3
Mie Ayam,290,18,30,10,3
Gulai Kambing,350,25,10,25,2
Bubur Ketan Hitam,230,5,35,6,4
